Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
DWAS,910710102,ACIC ,"1,350,008","12,123,071.84",1.844,American Coastal Insurance Corp,Common Stock,Financials,11/15/2023
DWAS,020764106,AMR ,"44,462","10,797,152.08",1.642,Alpha Metallurgical Resources Inc,Common Stock,Materials,11/15/2023
DWAS,12674W109,CABA ,"575,861","10,002,705.57",1.521,Cabaletta Bio Inc,Common Stock,Health Care,11/15/2023
DWAS,40609P105,HNRG ,"775,942","9,745,831.52",1.482,Hallador Energy Co,Common Stock,Energy,11/15/2023
DWAS,607828100,MOD ,"179,982","8,901,909.72",1.354,Modine Manufacturing Co,Common Stock,Consumer Discretionary,11/15/2023
DWAS,23257D103,CBAY ,"484,947","8,729,046.00",1.327,Cymabay Therapeutics Inc,Common Stock,Health Care,11/15/2023
DWAS,665531307,NOG ,"215,361","7,916,670.36",1.204,Northern Oil and Gas Inc,Common Stock,Energy,11/15/2023
DWAS,25787G100,DFIN ,"139,189","7,822,421.80",1.19,Donnelley Financial Solutions Inc,Common Stock,Financials,11/15/2023
DWAS,53263P105,LMB ,"178,941","7,053,854.22",1.073,Limbach Holdings Inc,Common Stock,Industrials,11/15/2023
DWAS,893529107,TRNS ,"74,346","6,806,376.30",1.035,Transcat Inc,Common Stock,Industrials,11/15/2023
DWAS,670703107,NUVL ,"114,818","6,774,262.00",1.03,Nuvalent Inc,Common Stock,Health Care,11/15/2023
DWAS,69376K106,PX ,"687,557","6,559,293.78",0.997,P10 Inc,Common Stock,Financials,11/15/2023
DWAS,68062P106,OLMA ,"389,805","6,556,520.10",0.997,Olema Pharmaceuticals Inc,Common Stock,Health Care,11/15/2023
DWAS,146869102,CVNA ,"187,983","6,421,499.28",0.976,Carvana Co,Common Stock,Consumer Discretionary,11/15/2023
DWAS,61559X104,MLTX ,"163,544","6,420,737.44",0.976,MoonLake Immunotherapeutics,Common Stock,Health Care,11/15/2023
DWAS,62482R107,COOP ,"110,858","6,344,403.34",0.965,Mr Cooper Group Inc,Common Stock,Financials,11/15/2023
DWAS,48282T104,KAI ,"24,181","6,327,442.27",0.962,Kadant Inc,Common Stock,Industrials,11/15/2023
DWAS,88642R109,TDW ,"106,621","6,111,515.72",0.929,Tidewater Inc,Common Stock,Energy,11/15/2023
DWAS,859241101,STRL ,"91,079","6,101,382.21",0.928,Sterling Infrastructure Inc,Common Stock,Industrials,11/15/2023
DWAS,02215L209,KNTK ,"167,603","5,916,385.90",0.9,Kinetik Holdings Inc,Common Stock,Energy,11/15/2023
DWAS,78473E103,SPXC ,"67,751","5,865,204.07",0.892,SPX Technologies Inc,Common Stock,Industrials,11/15/2023
DWAS,234264109,DAKT ,"516,587","5,744,447.44",0.874,Daktronics Inc,Common Stock,Information Technology,11/15/2023
DWAS,372284208,GNE ,"221,702","5,493,775.56",0.835,Genie Energy Ltd,Common Stock,Utilities,11/15/2023
DWAS,096308101,BVH ,"69,770","5,133,676.60",0.781,BFC Financial Corp,Common Stock,Consumer Discretionary,11/15/2023
DWAS,92686J106,VKTX ,"460,179","5,075,774.37",0.772,Viking Therapeutics Inc,Common Stock,Health Care,11/15/2023
DWAS,887399103,TMST ,"245,047","5,074,923.37",0.772,TimkenSteel Corp,Common Stock,Materials,11/15/2023
DWAS,42704L104,HRI ,"39,685","5,028,089.50",0.765,Herc Holdings Inc,Common Stock,Industrials,11/15/2023
DWAS,55405Y100,MTSI ,"59,310","4,858,082.10",0.739,MACOM Technology Solutions Holdings Inc,Common Stock,Information Technology,11/15/2023
DWAS,14574X104,TAST ,"616,148","4,553,333.72",0.692,Carrols Restaurant Group Inc,Common Stock,Consumer Discretionary,11/15/2023
DWAS,011311107,ALG ,"23,900","4,518,534.00",0.687,Alamo Group Inc,Common Stock,Industrials,11/15/2023
DWAS,739128106,POWL ,"52,495","4,425,853.45",0.673,Powell Industries Inc,Common Stock,Industrials,11/15/2023
DWAS,124805102,CBZ ,"73,680","4,196,076.00",0.638,CBIZ Inc,Common Stock,Industrials,11/15/2023
DWAS,45765U103,NSIT ,"27,552","4,185,699.84",0.637,Insight Enterprises Inc,Common Stock,Information Technology,11/15/2023
DWAS,03937C105,ARCB ,"33,579","4,101,339.06",0.624,ArcBest Corp,Common Stock,Industrials,11/15/2023
DWAS,398905109,GPI ,"13,875","4,033,046.25",0.613,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,11/15/2023
DWAS,78413P101,SMHI ,"328,853","3,962,678.65",0.603,SEACOR Marine Holdings Inc,Common Stock,Energy,11/15/2023
DWAS,002896207,ANF ,"54,343","3,793,141.40",0.577,Abercrombie & Fitch Co,Common Stock,Consumer Discretionary,11/15/2023
DWAS,393222104,GPRE ,"141,758","3,712,642.02",0.565,Green Plains Inc,Common Stock,Energy,11/15/2023
DWAS,125141101,CECO ,"186,823","3,667,335.49",0.558,CECO Environmental Corp,Common Stock,Industrials,11/15/2023
DWAS,46222L108,IONQ ,"277,614","3,606,205.86",0.548,IonQ Inc,Common Stock,Information Technology,11/15/2023
DWAS,00760J108,AEHR ,"134,716","3,512,046.12",0.534,Aehr Test Systems,Common Stock,Information Technology,11/15/2023
DWAS,Y2106R110,LPG ,"93,270","3,470,576.70",0.528,Dorian LPG Ltd,Common Stock,Energy,11/15/2023
DWAS,45253H101,IMGN ,"219,680","3,435,795.20",0.522,ImmunoGen Inc,Common Stock,Health Care,11/15/2023
DWAS,09739D100,BCC ,"30,093","3,391,180.17",0.516,Boise Cascade Co,Common Stock,Industrials,11/15/2023
DWAS,056525108,BMI ,"22,675","3,360,888.50",0.511,Badger Meter Inc,Common Stock,Information Technology,11/15/2023
DWAS,88822Q103,TIPT ,"190,094","3,315,239.36",0.504,Tiptree Inc,Common Stock,Financials,11/15/2023
DWAS,66405S100,NBN ,"61,958","3,250,316.68",0.494,Northeast Bank,Common Stock,Financials,11/15/2023
DWAS,22284P105,CVLG ,"75,162","3,213,175.50",0.489,Covenant Logistics Group Inc,Common Stock,Industrials,11/15/2023
DWAS,G23773107,CWCO ,"94,886","3,205,249.08",0.487,Consolidated Water Co Ltd,Common Stock,Utilities,11/15/2023
DWAS,13057Q305,CRC ,"61,751","3,197,466.78",0.486,California Resources Corp,Common Stock,Energy,11/15/2023
DWAS,254604101,IRON ,"60,720","3,182,335.20",0.484,Disc Medicine Inc,Common Stock,Health Care,11/15/2023
DWAS,25271C201,DO ,"254,580","3,164,429.40",0.481,Diamond Offshore Drilling Inc,Common Stock,Energy,11/15/2023
